outer_test_subject,transition_weight,n1_emission_boost,mean_macro_f1,mean_balanced_accuracy,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC401,0.75,1.0,0.6736783559565074,0.6878854702357303,0.13850703175793194,0.13850703175793194,0.031551976554810006,False
SC401,1.0,1.0,0.6724836570604635,0.6862569958865159,0.1451137547955162,0.1451137547955162,0.04748742865747987,False
SC402,0.75,1.75,0.6505187007070804,0.676375678553072,0.25897552581222205,0.21964968311559283,0.08356389502876985,True
SC402,0.25,1.75,0.6480708571395988,0.6713798301233941,0.28609357358984777,0.2521791755481595,0.08575387031122039,False
SC402,0.5,1.35,0.6474891888078006,0.6748648029298232,0.23204446992404693,0.20118411398999297,0.0841043665518172,False
SC402,0.5,1.5,0.646957966639618,0.672510898099398,0.24181310410296009,0.21112259400115074,0.08463957521157711,False
SC402,0.5,1.75,0.6465572794606305,0.6724062709431717,0.25778218515095175,0.22376386759534492,0.0806739557859971,False
SC402,0.75,1.5,0.6453090542022865,0.6725494694294099,0.23110688962981393,0.19873258683297595,0.08234014259154512,False
SC402,0.25,1.5,0.6445617381266583,0.6686805744285749,0.25276786015695957,0.22657594096504044,0.07794637561188875,False
SC402,0.75,1.35,0.6440678557714643,0.6709960807815352,0.22197998662376955,0.1907820462936166,0.07857002625726096,False
SC402,0.25,1.35,0.6440530481318109,0.6677339513735673,0.24153987345105285,0.22219932349460142,0.07679739252158556,False
SC402,0.25,1.2,0.6432670337520664,0.6672972650655428,0.22223819282194,0.21179518635105898,0.0745769577173972,False
SC402,1.0,1.75,0.6404058485475468,0.6633571009488133,0.24967669077343224,0.21217669077343224,0.0776099324172634,False
SC402,0.25,1.1,0.6403710155471556,0.6657418249969649,0.20315168753876334,0.19811450410471168,0.07427851782107633,False
SC402,0.5,1.2,0.6401947871603961,0.6676777032547532,0.2016496098064969,0.17400983174418366,0.08062551993048958,False
SC402,0.75,1.0,0.638377448092858,0.6650978368004725,0.1460074470680889,0.1460074470680889,0.05441064290607691,False
SC402,0.5,1.0,0.6383721782606311,0.6660184848324441,0.1478257204383557,0.1478257204383557,0.05353878391540313,False
SC402,0.75,1.2,0.6376609238536651,0.6656207336243837,0.19519021048637772,0.16512618999982204,0.07418201076969441,False
SC402,0.25,1.0,0.6355559226118196,0.6627333180761219,0.171287719880928,0.171287719880928,0.06349930017450534,False
SC402,0.5,1.1,0.6346303227286796,0.6645701243195907,0.16047320264358803,0.15007942974981514,0.06482860527498738,False
SC402,0.75,1.1,0.6301090272201683,0.66026903471948,0.1563404669683616,0.1358668849609999,0.06629768173344662,False
SC402,1.0,1.5,0.63008791092967,0.6566990552439967,0.20714582948978127,0.16888495992456387,0.07634086516076258,False
SC402,1.0,1.35,0.6243261387352285,0.6520225879916118,0.18658816805466968,0.14765011495732455,0.0712879066800207,False
SC402,1.0,1.1,0.6216180574877058,0.6486620706153596,0.13588772761105056,0.13588772761105056,0.051132202101515166,False
SC402,1.0,1.2,0.6208262220386617,0.6487839478589522,0.15723592445225137,0.1348307654446755,0.06103028635375308,False
SC402,1.0,1.0,0.6195404123012904,0.6475384393681857,0.11477493933485876,0.11477493933485876,0.050249575391811165,False
SC403,0.75,1.2,0.6889826668385016,0.7073708357468654,0.3229770167879099,0.3229770167879099,0.06476055649984155,True
SC403,0.75,1.1,0.6885525891932888,0.7097949583726014,0.3068832954773714,0.3068832954773714,0.0662229290468035,False
SC403,0.5,1.0,0.6869969274171168,0.7117097186660638,0.31808907609679754,0.31808907609679754,0.07237841532635192,False
SC403,0.25,1.5,0.6836216216076518,0.7030678350474004,0.3906065104257245,0.3906065104257245,0.058933953901427374,False
SC403,0.25,1.0,0.6834274046433523,0.7066508384860616,0.33406120760959473,0.33406120760959473,0.05500686070335341,False
SC403,0.75,1.0,0.6834014597086208,0.7042436790466058,0.30791938739208385,0.307801055061855,0.06622777933666979,False
SC403,0.75,1.5,0.6824510175655764,0.699517002565759,0.3720868612131752,0.3518790496290115,0.06964636530574995,False
SC403,0.75,1.35,0.6810233562599249,0.6994421852010326,0.3298359538013305,0.3298359538013305,0.0639375314813953,False
SC403,0.5,1.1,0.6809030622376734,0.7041725888607251,0.32236246979455807,0.32236246979455807,0.07045637434175912,False
SC403,0.25,1.1,0.6803521773517218,0.7011748778307603,0.3463978744350028,0.3463978744350028,0.058611657144361125,False
SC403,0.5,1.35,0.680106639043113,0.6991723398966658,0.3528006552809827,0.3528006552809827,0.06214132504854841,False
SC403,0.25,1.35,0.6800211169809243,0.7005889701611416,0.3678702791778926,0.3678434798891045,0.058983716832389115,False
SC403,0.25,1.2,0.6798023174963725,0.7010452163920623,0.35492407950472465,0.35296159754224266,0.06066153809774348,False
SC403,1.0,1.2,0.6795052245784194,0.697016477796521,0.3167490738302388,0.3167490738302388,0.06257289664751928,False
SC403,0.5,1.2,0.6793797393125687,0.7013841516595859,0.32808548316990904,0.32808548316990904,0.06313117626310337,False
SC403,1.0,1.35,0.6762114512020269,0.6907165563919778,0.32067981652901384,0.32067981652901384,0.07122092083511297,False
SC403,1.0,1.1,0.6756177193327367,0.6940052670551704,0.3054794700640605,0.3054794700640605,0.06501147097195659,False
SC403,0.5,1.5,0.6740578970683214,0.6938917557167017,0.3628333136134535,0.34415752460440474,0.06545730002940985,False
SC403,1.0,1.0,0.6716502447475892,0.6914192169914158,0.291047208474755,0.291047208474755,0.06840678684946902,False
SC403,0.25,1.75,0.6682834575587343,0.6898282843501696,0.383166119553635,0.3510174947215434,0.06879843509698634,False
