target_stage,comparison_stage,feature,n1_count,comparison_count,n1_mean,comparison_mean,cohens_d,abs_cohens_d,symmetric_auc,overlap_coefficient,discriminability_score,pair_rank
N1,Wake,current_delta_theta_ratio,683,1350,7.827261535433619,15.59633674776104,-0.5908306334738854,0.5908306334738854,0.710379046689442,0.6016040344883683,0.37868283481285114,15
N1,Wake,current_alpha_theta_ratio,683,1350,0.4564178554988908,0.5464043201558724,-0.16197999378734584,0.16197999378734584,0.5717629195813676,0.6919234314841929,0.1576752323526309,39
N1,Wake,current_sigma_theta_ratio,683,1350,0.1701519803655737,0.13539452672029886,0.319776465988439,0.319776465988439,0.632464616886286,0.7697988178515265,0.22647132321424654,36
N1,N2,prev2_delta,683,3712,0.7029421526609404,0.7824399738468651,-0.712862431143443,0.712862431143443,0.6549373327611451,0.7070417024284343,0.32045835694697467,28
N1,N2,prev2_theta,683,3712,0.13254381429060577,0.10810592871312957,0.4738681765556049,0.4738681765556049,0.6024503647700308,0.7276101094310092,0.22800856936716965,36
N1,N2,prev2_alpha,683,3712,0.06370437473753501,0.03241069749347059,0.9088069768572743,0.9088069768572743,0.6916584887918411,0.6939237075276417,0.3891947938149039,18
N1,N2,prev2_sigma,683,3712,0.02413932257373292,0.03862873014998983,-0.39379531556315445,0.39379531556315445,0.6104959736456808,0.7811577030847681,0.2133337303632003,37
N1,N2,prev2_beta,683,3712,0.051497973141778716,0.015020641816182529,1.4953831209723591,1.4953831209723591,0.8252255357954259,0.4477520573534609,0.6599825924705877,3
N1,N2,prev2_rms,683,3712,1.1947326728687553e-05,1.4774509257165281e-05,-0.5551884404727004,0.5551884404727004,0.7093842296915231,0.6010398785782805,0.3724545200467721,21
N1,N2,prev2_std,683,3712,1.1921975938044888e-05,1.475236241478096e-05,-0.5553624932658897,0.5553624932658897,0.7093238817084869,0.601461525597011,0.3723359505789682,22
N1,N2,prev2_peak_to_peak,683,3712,9.709424055688591e-05,0.00011862590608023642,-0.5396552556265172,0.5396552556265172,0.6870239214671581,0.5924081448477811,0.34949058084157947,24
N1,N2,prev2_zero_crossing_rate,683,3712,0.1308565153733528,0.09685578304597697,1.060110164327108,1.060110164327108,0.7328747806962185,0.648546757459484,0.4621819538533879,10
N1,N2,prev2_spectral_entropy,683,3712,4.42912327700003,4.3954756854931265,0.057308608061598654,0.057308608061598654,0.5561922552632907,0.7150549679406271,0.12177755288440514,45
N1,N2,prev2_dominant_frequency,683,3712,0.7562225475841874,0.7717537715517241,-0.02375114255874332,0.02375114255874332,0.5882184959862675,0.798469291159691,0.13208730913814082,44
N1,N2,prev2_sef90,683,3712,9.037335285505124,6.816877693965517,0.6015226408183643,0.6015226408183643,0.6333887640733074,0.6317739624880092,0.29726236769846015,30
N1,N2,prev2_delta_theta_ratio,683,3712,9.692593940091598,9.293181874498838,0.052910106842624316,0.052910106842624316,0.6223222061644873,0.7236413420760338,0.18553045377567418,40
N1,N2,prev2_alpha_theta_ratio,683,3712,0.5013917012787408,0.3018468129171666,0.838819590540828,0.838819590540828,0.6913409716261928,0.7097707723279649,0.375209755741724,19
N1,N2,prev2_sigma_theta_ratio,683,3712,0.21170314287130781,0.36369497255145994,-0.464978296434948,0.464978296434948,0.6716868562881809,0.729377161483314,0.2955581684567603,31
N1,N2,prev1_delta,683,3712,0.6996439727412131,0.7837523824957062,-0.7811991791200626,0.7811991791200626,0.6729730966325036,0.7059996150350887,0.3489530504934953,25
N1,N2,prev1_theta,683,3712,0.13501198268304188,0.10819265993715113,0.531885337843967,0.531885337843967,0.6109527250467006,0.7403541834957339,0.2426646890241489,35
N1,N2,prev1_alpha,683,3712,0.06275833311991484,0.03165905995320402,1.0255628993081984,1.0255628993081984,0.7247453551774625,0.6377598513151916,0.45102781981065393,11
N1,N2,prev1_sigma,683,3712,0.022110333523690545,0.03933262173393244,-0.4697532035463261,0.4697532035463261,0.6270368430352906,0.7328426345483918,0.25093129665756114,34
N1,N2,prev1_beta,683,3712,0.05453917017028089,0.01369215466084818,1.8469544136310574,1.8469544136310574,0.873787123870349,0.3632427929519867,0.7781817273246102,2
N1,N2,prev1_rms,683,3712,1.130990477654145e-05,1.476463242584804e-05,-0.7255098997433316,0.7255098997433316,0.7488451052658152,0.5440327283283688,0.4488650445616411,12
N1,N2,prev1_std,683,3712,1.1285216251674744e-05,1.4742570601424053e-05,-0.7254538529086021,0.7254538529086021,0.7488395832281517,0.5444543753470995,0.4487667860950221,13
N1,N2,prev1_peak_to_peak,683,3712,9.193555795106162e-05,0.00011876548553215386,-0.7130454550102372,0.7130454550102372,0.7232232449386581,0.5570110945625284,0.418777844277688,15
N1,N2,prev1_zero_crossing_rate,683,3712,0.13401464128843335,0.09593902658045975,1.243157589750537,1.243157589750537,0.7693853104331801,0.6006986955369314,0.5357192097883744,8
N1,N2,prev1_spectral_entropy,683,3712,4.455931108922596,4.4005091036861845,0.09723554010960288,0.09723554010960288,0.5655347541273288,0.6968058167567022,0.14075892179242877,43
N1,N2,prev1_dominant_frequency,683,3712,0.7163250366032211,0.7743130387931034,-0.09577660879849412,0.09577660879849412,0.5927447919296207,0.7995938146867269,0.14719252031204946,42
N1,N2,prev1_sef90,683,3712,9.206076134699854,6.769598599137931,0.6760639963800915,0.6760639963800915,0.6556384343287727,0.5798391982632403,0.34108019413313834,27
N1,N2,prev1_delta_theta_ratio,683,3712,9.366453000819291,9.11628761353763,0.03587188594962718,0.03587188594962718,0.6317798789569344,0.7376858560105014,0.18962349064727824,39
N1,N2,prev1_alpha_theta_ratio,683,3712,0.4988285655050842,0.294141529038291,0.9556042679891849,0.9556042679891849,0.7203229918715605,0.673413676351795,0.4289808967995792,14
N1,N2,prev1_sigma_theta_ratio,683,3712,0.19191857826081998,0.36885771772593834,-0.5438402665769073,0.5438402665769073,0.6967821508810017,0.6851957325692937,0.34131904435367905,26
N1,N2,current_delta,683,3712,0.6991658100918544,0.7840889974902361,-0.8317194938412719,0.8317194938412719,0.7008384819760691,0.6762121661533801,0.3903539728215839,17
N1,N2,current_theta,683,3712,0.14083593555680834,0.10792219381812791,0.6838530505576786,0.6838530505576786,0.6564069836421468,0.7084241840006058,0.3173001044256774,29
N1,N2,current_alpha,683,3712,0.059295535243117696,0.03136766040428663,1.035757299719971,1.035757299719971,0.7380451828898875,0.6539595376634524,0.4626168703151927,9
N1,N2,current_sigma,683,3712,0.020610955588183228,0.040180289267249376,-0.5376115392072834,0.5376115392072834,0.6467189629928813,0.6765044397182814,0.29205980593031755,32
