outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC400,15,1.0,1.35,0.6608365858440226,0.2975289669623134,0.2975289669623134,0.6771961642911327,0.09554918154791159,False
SC400,15,1.0,1.1,0.660760736234812,0.2637069277698683,0.2637069277698683,0.6756350608535728,0.08636067369055676,False
SC400,20,0.5,1.35,0.6606699082418349,0.30981122122440125,0.29744161624096327,0.6841221285470152,0.10580394363875807,False
SC400,0,1.0,1.0,0.6600347460960264,0.23981231769521782,0.23981231769521782,0.676180605058154,0.08314640565973473,False
SC400,10,1.0,1.0,0.6599987615522387,0.23777363390793518,0.23777363390793518,0.6755496704596776,0.08460780201642473,False
SC400,5,1.0,1.35,0.6595612210159375,0.30552784436658675,0.29796234218318063,0.6778991194140163,0.09427902445598912,False
SC400,0,1.0,1.1,0.6593924030846805,0.2568152193091314,0.2568152193091314,0.6770347062021069,0.08413181899455324,False
SC400,0,0.75,1.35,0.6591607906357961,0.2947799865771993,0.28848827005014166,0.6799840100946156,0.09680212051197491,False
SC400,15,0.75,1.0,0.6590830895161581,0.2664543827576179,0.2664543827576179,0.6747318135910001,0.09084548618518049,False
SC400,20,1.0,1.35,0.6589145739714352,0.2809322111560994,0.2773775070266826,0.6782076413523864,0.09423246082505421,False
SC400,20,0.75,1.75,0.658864983312635,0.3486374975071429,0.32766528046908283,0.6761361196044945,0.10486830994265922,False
SC400,0,1.0,1.35,0.6586018455187141,0.2777950911871329,0.2713720450414941,0.678947067187295,0.08909138607181383,False
SC400,0,0.75,1.0,0.6579478935764155,0.25408403301872884,0.25408403301872884,0.6758793975767328,0.08903251756771394,False
SC400,15,1.0,1.0,0.6577804712096406,0.24612785007104437,0.24612785007104437,0.6744552860180523,0.08767888684504302,False
SC400,0,0.5,1.5,0.6574483126040311,0.31443818670710943,0.30601327828220104,0.6788193800213295,0.0980746129314596,False
SC400,20,0.25,1.5,0.6572869208414265,0.3559727354964342,0.3400799196036183,0.6831518124673942,0.09937590758283509,False
