outer_test_subject,threshold,mean_macro_f1,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC404,0.475,0.6388953845082077,0.19627903563171994,0.19471040818073954,0.07550300031864215,False
SC404,0.275,0.6387568802195482,0.33687852120398504,0.2973008033243804,0.09032142648110722,False
SC404,0.25,0.6329976190756895,0.3463643790512287,0.3060173807052394,0.08890956714077468,False
SC404,0.225,0.6177409527681004,0.3428708223727655,0.29384453358108076,0.08886698872879813,False
SC404,0.2,0.6087125703960639,0.35131095384642974,0.29938278225199677,0.09080537732233789,False
SC404,0.175,0.6001137461042277,0.354935163839991,0.2950184199381243,0.08893045546940846,False
SC404,0.15,0.5787284893566598,0.34589326646653984,0.28485186040088994,0.09178571295445442,False
SC404,0.125,0.5474427492286453,0.3306328794427877,0.2639302876810182,0.08351311004703307,False
SC404,0.1,0.5155836521898509,0.3037018139562323,0.2246121393284736,0.08492977158554937,False
SC405,0.375,0.6364295084308402,0.35831396872542787,0.35831396872542787,0.09511695165705714,True
SC405,0.4,0.63604900440513,0.3510679704343576,0.3510679704343576,0.09528673502485381,False
SC405,0.35,0.634931205294986,0.36302200440707766,0.36302200440707766,0.09767379419474341,False
SC405,0.325,0.6328001585258476,0.3751272704203027,0.36075859732822535,0.09813502090260114,False
SC405,0.425,0.6315795364613275,0.3198740891692097,0.3198740891692097,0.0960686552085348,False
SC405,0.3,0.6277167489149423,0.3888433178822195,0.360328076977598,0.09412417382495156,False
SC405,0.45,0.6267217949798295,0.28312209296204666,0.28312209296204666,0.09502619585271921,False
SC405,0.275,0.6211823077368164,0.39151661199030074,0.36221551815034686,0.0866097084571508,False
SC405,0.475,0.6172127776824758,0.23126164918747855,0.23126164918747855,0.08294802526912116,False
SC405,0.25,0.6121675718112455,0.38587905921754034,0.35419900333210547,0.07681453985921306,False
SC405,0.5,0.6107908352144614,0.19489620861464668,0.19489620861464668,0.08112986030494942,False
SC405,0.225,0.6012161435870187,0.38441437440229687,0.3340026342568644,0.06869242169322581,False
SC405,0.2,0.5858138177452398,0.37777515668655137,0.2957102671484524,0.06595587970908333,False
SC405,0.175,0.5710974882726048,0.36817889095117434,0.2740424366518549,0.060180121881970604,False
SC405,0.15,0.5469798472611644,0.3535030733005525,0.22890112881362995,0.05984814665318282,False
SC405,0.125,0.5194933875191119,0.33255851264143016,0.2018800746636733,0.06311771024159481,False
SC405,0.1,0.48251520167987944,0.31535460652044095,0.17562804934180642,0.07249124255608187,False
